MONTH,LAST,CHG,OPEN,HIGH,LOW,SETTLEMENT,DATE,VOLUME,OPEN INT,DATE,TIME
Eurodollar 3 Month Mar 2018,97.945,-0.010,97.955,97.968,97.943,97.955,16-Feb,"376,801","1,384,616",2/20/18,12:08
Eurodollar 3 Month Jun 2018,97.760,-0.015,97.775,97.775,97.750,97.775,16-Feb,"334,482","1,539,517",2/20/18,12:08
Eurodollar 3 Month Sep 2018,97.640,-0.025,97.660,97.660,97.630,97.665,16-Feb,"188,277","1,398,895",2/20/18,12:14
Eurodollar 3 Month Dec 2018,97.505,-0.030,97.530,97.535,97.490,97.530,16-Feb,"271,989","1,749,760",2/20/18,12:13
Eurodollar 3 Month Mar 2019,97.410,-0.035,97.440,97.445,97.390,97.445,16-Feb,"245,459","1,366,347",2/20/18,12:14
Eurodollar 3 Month Jun 2019,97.300,-0.045,97.340,97.345,97.285,97.340,16-Feb,"237,832","1,280,922",2/20/18,12:14
Eurodollar 3 Month Sep 2019,97.225,-0.050,97.270,97.275,97.205,97.275,16-Feb,"193,996","913,433",2/20/18,12:13
Eurodollar 3 Month Dec 2019,97.140,-0.055,97.185,97.195,97.120,97.195,16-Feb,"437,619","1,820,113",2/20/18,12:14
Eurodollar 3 Month Mar 2020,97.115,-0.060,97.170,97.175,97.100,97.175,16-Feb,"238,710","914,411",2/20/18,12:14
Eurodollar 3 Month Jun 2020,97.095,-0.060,97.155,97.155,97.080,97.155,16-Feb,"174,408","753,439",2/20/18,12:14
Eurodollar 3 Month Sep 2020,97.080,-0.055,97.135,97.140,97.060,97.135,16-Feb,"150,560","519,522",2/20/18,12:14
Eurodollar 3 Month Dec 2020,97.045,-0.050,97.090,97.100,97.020,97.095,16-Feb,"148,958","541,996",2/20/18,12:14
Eurodollar 3 Month Mar 2021,97.030,-0.050,97.080,97.085,97.010,97.080,16-Feb,"72,337","448,412",2/20/18,12:06
Eurodollar 3 Month Jun 2021,97.020,-0.045,97.065,97.070,96.995,97.065,16-Feb,"75,131","257,453",2/20/18,12:11
Eurodollar 3 Month Sep 2021,97.010,-0.035,97.050,97.055,96.980,97.045,16-Feb,"35,967","166,149",2/20/18,12:11
Eurodollar 3 Month Dec 2021,96.985,-0.035,97.030,97.030,96.960,97.020,16-Feb,"45,523","215,703",2/20/18,12:04
Eurodollar 3 Month Mar 2022,96.975,-0.035,97.020,97.020,96.950,97.010,16-Feb,"31,400","137,664",2/20/18,12:09
Eurodollar 3 Month Jun 2022,96.965,-0.030,97.005,97.005,96.940,96.995,16-Feb,"30,842","77,619",2/20/18,12:14
Eurodollar 3 Month Sep 2022,96.950,-0.025,96.980,96.990,96.925,96.975,16-Feb,"22,476","69,265",2/20/18,12:10
Eurodollar 3 Month Dec 2022,96.930,-0.020,96.970,96.970,96.905,96.950,16-Feb,"26,046","85,275",2/20/18,18:11
Eurodollar 3 Month Mar 2023,96.910,-0.020,96.925,96.925,96.890,96.930,16-Feb,"2,536","21,995",2/20/18,17:46
Eurodollar 3 Month Jun 2023,96.895,-0.015,96.920,96.920,96.880,96.910,16-Feb,"2,070","14,315",2/20/18,11:50
Eurodollar 3 Month Sep 2023,96.880,-0.010,96.885,96.895,96.855,96.890,16-Feb,"1,438","12,813",2/20/18,11:46
Eurodollar 3 Month Dec 2023,96.860,-0.010,96.855,96.870,96.850,96.870,16-Feb,"1,333","7,458",2/20/18,11:28
Eurodollar 3 Month Mar 2024,96.845,-0.015,96.845,96.845,96.845,96.860,16-Feb,294,"2,544",2/20/18,7:49
Eurodollar 3 Month Jun 2024,96.800,-0.040,96.800,96.800,96.800,96.840,16-Feb,105,"2,785",2/20/18,2:09
Eurodollar 3 Month Sep 2024,96.815,0.010,96.840,96.845,96.815,96.825,16-Feb,61,"1,330",2/16/18,11:11
Eurodollar 3 Month Dec 2024,96.795,-0.010,96.790,96.800,96.790,96.805,16-Feb,200,"1,295",2/20/18,7:42
Eurodollar 3 Month Mar 2025,97.000,-0.105,97.000,97.000,97.000,96.795,16-Feb,1,223,1/19/18,15:12
Eurodollar 3 Month Jun 2025,96.985,-0.105,96.985,96.985,96.985,96.780,16-Feb,1,336,1/19/18,15:12
Eurodollar 3 Month Sep 2025,96.770,0.000,96.805,96.805,96.755,96.770,16-Feb,32,654,2/14/18,7:30
Eurodollar 3 Month Dec 2025,96.750,0.015,96.750,96.750,96.750,96.755,16-Feb,1,504,2/16/18,11:09
Eurodollar 3 Month Mar 2026,96.910,0.140,96.910,96.910,96.910,96.745,16-Feb,9,336,2/5/18,15:25
Eurodollar 3 Month Jun 2026,96.880,-0.010,96.920,96.920,96.880,96.735,16-Feb,10,227,1/31/18,13:04
Eurodollar 3 Month Sep 2026,96.870,-0.010,96.910,96.910,96.870,96.725,16-Feb,5,84,1/31/18,13:04
Eurodollar 3 Month Dec 2026,97.080,-0.040,97.080,97.080,97.080,96.715,16-Feb,2,55,1/12/18,7:30
Eurodollar 3 Month Mar 2027,96.870,0.005,96.895,96.895,96.855,96.710,16-Feb,9,60,1/31/18,14:51
Eurodollar 3 Month Jun 2027,96.845,-0.015,96.845,96.845,96.845,96.710,16-Feb,1,11,1/31/18,13:47
Eurodollar 3 Month Sep 2027,96.985,-0.060,96.990,96.990,96.985,96.695,16-Feb,8,48,1/18/18,9:50
Eurodollar 3 Month Dec 2027,0.000,0.000,0.000,0.000,0.000,96.685,16-Feb,0,N/A,N/A,N/A
